,id,timestamp,queue_delay_port_137,number_of_packets_for_average_port_137,queue_delay_port_136,number_of_packets_for_average_port_136
0,3,819818978586712,3398887622,2,0,0
1,4,819819332064915,4149142388,2,0,0
2,4,819819683084983,562006222,2,0,0
3,5,819820038157875,1264038435,2,0,0
4,5,819820396959331,1974050156,2,0,0
5,6,819820746960803,2692025004,2,0,0
6,6,819821097931306,3392045250,2,0,0
7,7,819821455890360,4094057596,2,0,0
8,7,819821811220152,515082274,2,0,0
9,8,819822162913893,1225623379,2,0,0
10,8,819822516897341,1929032405,2,0,0
11,9,819822872021401,2637043209,2,0,0
12,9,819823222035109,3347044935,2,0,0
13,10,819823580936211,4047008179,2,0,0
14,10,819823931924084,470109179,2,0,0
15,11,819824281930924,1172085340,2,0,0
16,11,819824640929158,1872085189,2,0,0
17,12,819824996227735,2590082297,2,0,0
18,12,819825355052210,3300681102,2,0,0
19,13,819825705955896,4018069530,2,0,0
20,13,819826060942169,425110283,2,0,0
21,14,819826407944829,1135104247,2,0,0
22,14,819826758919184,1829104510,2,0,0
23,15,819827113938136,2531109537,2,0,0
24,15,819827461944001,3241110797,2,0,0
25,16,819827814903789,3937103421,2,0,0
26,16,819828174225527,348131692,2,0,0
27,17,819828526902026,1066623499,2,0,0
28,17,819828878935970,1772098153,2,0,0
29,18,819829237871878,2476142630,2,0,0
30,18,819829596965170,3194060357,2,0,0
31,19,819829948954270,3912135299,2,0,0
32,19,819830297896908,321200846,2,0,0
33,20,819830644929847,1019138927,2,0,0
34,20,819830999896275,1713176215,2,0,0
35,21,819831354212016,2423124611,2,0,0
36,21,819831713931195,3131751735,2,0,0
37,22,819832073092830,3851207030,2,0,0
38,22,819832431968727,274226572,2,0,0
39,23,819832790971855,992247477,2,0,0
40,23,819833146968721,1710244221,2,0,0
41,24,819833501949374,2422201896,2,0,0
42,24,819833853158180,3132200009,2,0,0
43,25,819834206987202,3834278771,2,0,0
44,25,819834562277707,247292690,2,0,0
45,26,819834915941213,957816072,2,0,0
46,26,819835267983969,1665208465,2,0,0
47,27,819835623059114,2369248330,2,0,0
48,27,819835975935148,3079271749,2,0,0
49,28,819836330961599,3785203298,2,0,0
50,28,819836685978410,200264464,2,0,0
51,29,819837040947317,910277288,2,0,0
52,29,819837391929143,1620278476,2,0,0
53,30,819837750317756,2322276665,2,0,0
54,30,819838102987247,3038896130,2,0,0
55,31,819838454962199,3744256127,2,0,0
56,31,819838809922475,153254806,2,0,0
57,32,819839164917066,863288297,2,0,0
58,32,819839514954046,1573259520,2,0,0
59,33,819839868943093,2273291643,2,0,0
60,33,819840219991962,2981294863,2,0,0
61,34,819840571972549,3683327938,2,0,0
